date,ADA,AE,ARDR,ARK,BAT,BCD,BCH,BNB,BTC,BTG,DASH,EOS,ETC,ETH,GNT,HC,ICX,IOST,KCS,KMD,LSK,LTC,MIOTA,MKR,NANO,NEO,OMG,ONT,PPT,QTUM,RHOC,SNT,STEEM,STRAT,TRX,USDT,VERI,VET,WAN,WAVES,WTC,XEM,XLM,XMR,XRP,XTZ,ZEC,ZIL,ZRX
2018-10-31,0.069705,1.14,0.102862,0.799343,0.245735,1.7,422.86,9.36,6317.61,26.19,151.75,5.2,8.98,197.38,0.169671,0.929431,0.6438,0.012368,1.08,1.25,2.76,49.44,0.464102,595.12,1.99,15.3,3.25,1.65,3.64,3.81,0.077921,0.037798,0.793735,1.51,0.022192,0.988122,38.55,0.010365,1.12,1.81,3.25,0.09065,0.223471,103.83,0.448382,1.28,115.45,0.034473,0.766111
2018-11-01,0.070867,1.18,0.10814,0.79935,0.252364,1.7,424.09,9.55,6377.78,26.44,153.52,5.28,9.05,198.87,0.170508,0.9387925,0.648932,0.012261,1.09,1.28,2.75,50.27,0.472912,630.56,1.95,15.68,3.28,1.69,3.75,3.88,0.077124,0.039109,0.809544,1.56,0.022575,0.99172,37.93,0.01047,1.09,1.85,3.36,0.091188,0.222945,103.88,0.455722,1.31,117.07,0.035391,0.808004
2018-11-02,0.072584,1.19,0.109133,0.819956,0.304374,1.71,462.01,9.57,6388.44,27.29,154.32,5.36,9.14,200.63,0.17274,0.939054,0.639252,0.012158,1.1,1.31,2.77,51.33,0.483095,623.15,1.95,16.16,3.24,1.68,3.75,3.93,0.07842,0.038568,0.802461,1.64,0.02286,0.993501,38.29,0.010413,1.07,1.85,3.31,0.093405,0.234244,105.78,0.458685,1.31,118.37,0.035687,0.810756
2018-11-03,0.071479,1.19,0.112206,0.799304,0.289792,1.72,477.99,9.53,6361.26,26.85,154.7,5.31,9.11,200.19,0.169896,0.9351065000000001,0.632714,0.012079,1.12,1.27,2.76,50.97,0.47717,622.81,1.93,15.98,3.19,1.66,3.75,3.88,0.081822,0.038277,0.790023,1.59,0.0227,0.999433,37.41,0.010339,1.08,1.86,3.32,0.093227,0.235706,106.87,0.455667,1.31,117.68,0.034882,0.810093
2018-11-04,0.076229,1.17,0.109857,0.810504,0.289806,1.81,560.18,9.63,6376.13,29.41,162.96,5.45,9.37,207.49,0.167951,0.93623,0.641846,0.012044,1.13,1.29,2.82,53.61,0.496752,645.13,1.94,16.63,3.28,1.69,3.48,3.91,0.088986,0.038659,0.796711,1.57,0.023273,0.988708,37.66,0.010656,1.04,1.82,3.35,0.094866,0.241638,111.8,0.462691,1.33,120.46,0.036129,0.786766
2018-11-05,0.076148,1.19,0.106489,0.775134,0.308877,1.73,558.47,9.67,6419.66,29.82,164.23,5.47,9.4,209.09,0.163504,0.916326,0.634682,0.01221,1.12,1.24,2.88,53.55,0.503436,661.67,1.92,16.29,3.37,1.68,3.55,3.89,0.087821,0.03725,0.780406,1.55,0.023745,0.993176,37.87,0.010663,1.01,1.81,3.12,0.093785,0.246529,111.34,0.497412,1.31,121.75,0.035506,0.764113
2018-11-06,0.080952,1.2,0.10752,0.770052,0.316646,1.76,628.51,9.78,6461.01,31.97,170.47,5.73,9.88,218.45,0.16383,0.9397850000000001,0.64937,0.01254,1.14,1.25,2.87,55.95,0.515545,673.72,1.96,16.99,3.47,1.71,3.45,4.01,0.102301,0.03812,0.792021,1.55,0.024421,0.992796,38.87,0.011204,1.03,1.84,3.13,0.097527,0.265596,112.89,0.54908,1.33,130.77,0.036681,0.758095
2018-11-07,0.078544,1.3,0.105938,0.763798,0.337816,1.77,617.25,9.82,6530.14,31.51,166.45,5.65,9.64,217.18,0.168162,0.9248365000000001,0.642839,0.012359,1.11,1.23,2.88,54.19,0.503757,678.01,1.95,16.73,3.41,1.68,3.54,4.1,0.109746,0.038067,0.812997,1.59,0.023774,0.99327,37.82,0.010816,1.05,1.83,3.12,0.096777,0.256718,111.51,0.535707,1.33,129.83,0.034892,0.757125
2018-11-08,0.076493,1.16,0.105014,0.762446,0.304976,1.75,574.43,9.65,6453.72,29.93,164.29,5.5,9.44,212.23,0.169425,0.9244880000000001,0.616013,0.012097,1.08,1.22,2.8,52.37,0.483184,663.65,1.87,16.29,3.32,1.66,3.38,3.99,0.100431,0.037178,0.783598,1.53,0.023114,0.994333,36.5,0.010494,1.01,1.82,3.03,0.092901,0.256043,108.43,0.493508,1.32,135.83,0.035047,0.716499
2018-11-09,0.074225,1.16,0.103165,0.727143,0.277001,1.72,544.42,9.55,6385.62,29.3,159.99,5.38,9.45,210.07,0.164473,0.898809,0.591135,0.012007,1.14,1.18,2.76,51.9,0.477343,653.51,1.84,15.94,3.33,1.63,3.3,3.91,0.106331,0.035929,0.756186,1.46,0.023028,0.994832,34.39,0.010189,0.964701,1.76,2.96,0.091976,0.255542,106.89,0.500668,1.29,134.18,0.034567,0.712115
