,name,symbol,kmeans_cluster,cluster_name,avg_daily_return,volatility,btc_correlation,avg_market_cap,days_traded
bitcoin,Bitcoin,BTC,0,High Risk/High Return,0.0026599568494339405,0.044017795175501834,1.0,37870790722.67026,2041
ethereum,Ethereum,ETH,0,High Risk/High Return,0.005986210240934524,0.07400659730382743,0.36259282753305966,20808149256.404957,1210
bitcoin-cash,Bitcoin Cash,BCH,0,High Risk/High Return,0.0026550471754883784,0.09589777269476543,0.36354470400551814,15571053891.68421,494
ripple,XRP,XRP,0,High Risk/High Return,0.005396631706593874,0.08903483185093737,0.30247135378349566,6294406970.383943,1943
cardano,Cardano,ADA,0,High Risk/High Return,0.006788361931585234,0.12082693470737411,0.3940944125349654,5316584967.360849,424
eos,EOS,EOS,0,High Risk/High Return,0.007569362016419771,0.11894666453819618,0.40484240535994986,4779075267.463179,516
iota,IOTA,MIOTA,0,High Risk/High Return,0.0028873505057905547,0.09217673553280385,0.5486596629368653,3348557956.636704,534
tron,TRON,TRX,0,High Risk/High Return,0.013116502648697763,0.14632423544580608,0.42227366288044677,2296504753.647059,442
neo,NEO,NEO,0,High Risk/High Return,0.009031385096892932,0.11476085523097997,0.3317944066157848,1862779628.7200987,811
litecoin,Litecoin,LTC,0,High Risk/High Return,0.003372021931988706,0.07395021044589022,0.6218760354492048,1634890867.6374326,2041
bitcoin-gold,Bitcoin Gold,BTG,0,High Risk/High Return,-0.0018258162257133164,0.11335815708948556,0.3316528935289649,1356146312.8308458,402
stellar,Stellar,XLM,0,High Risk/High Return,0.006207845536248999,0.09102043757014405,0.2921972033330057,1296911103.489537,1577
ethereum-classic,Ethereum Classic,ETC,0,High Risk/High Return,0.006941287556475396,0.13449050648082728,0.23485264063952319,1203003070.7179487,858
nem,NEM,XEM,0,High Risk/High Return,0.008540571806422894,0.1009947348832567,0.3140489649660538,1164093938.498505,1338
qtum,Qtum,QTUM,0,High Risk/High Return,0.0029449935171328473,0.10383295567710711,0.5014334600774574,1062214788.1299639,554
omisego,OmiseGO,OMG,0,High Risk/High Return,0.006567054252673142,0.09976895092529899,0.4927299560475689,965326547.1451292,503
dash,Dash,DASH,0,High Risk/High Return,0.006893177734292695,0.10171127148491436,0.3015952923789215,964856021.7707261,1749
binance-coin,Binance Coin,BNB,0,High Risk/High Return,0.013033216307409992,0.10748565630357955,0.4886305818710757,924000348.8638211,492
icon,ICON,ICX,0,High Risk/High Return,0.004286401060582003,0.10986021647616953,0.48860891571810783,874308871.540201,398
monero,Monero,XMR,0,High Risk/High Return,0.0050954273329641454,0.07827444291970806,0.41348882381998514,844340704.8680388,1652
tether,Tether,USDT,0,High Risk/High Return,0.00012468955165330503,0.02289367894655086,-0.030552965457249004,641841600.1184211,1368
zcash,Zcash,ZEC,0,High Risk/High Return,0.0007696006099331014,0.10739120849532077,0.30408653900197713,601629688.9027596,761
lisk,Lisk,LSK,0,High Risk/High Return,0.007802074200764102,0.1401797946808377,0.2455085970943532,530372440.8138573,967
ontology,Ontology,ONT,0,High Risk/High Return,-0.00040470849851071566,0.09350004440765743,0.4579611044715139,506224377.96240604,266
populous,Populous,PPT,0,High Risk/High Return,0.004608933631310162,0.10813728453509926,0.48026686105940436,492148168.44158417,505
nano,Nano,NANO,0,High Risk/High Return,0.01594417383860435,0.1358894551929973,0.4047852986859425,481739738.0794165,617
